TrId,FromAccNo,ToAccNo,TrType,Amount
1,ABC-304,ABC-308,Cheque,2519
2,XYX-905,XYX-909,Online-Transfer,3223
3,PQR-88809,PQR-88813,Visa,2435
3,ABC-305,ABC-309,Master-Card,1340
4,XYX-906,XYX-910,Cheque,1007
5,PQR-88810,PQR-88814,Online-Transfer,1871
6,ABC-306,ABC-310,Visa,1007
7,XYX-907,XYX-911,Master-Card,141
8,PQR-88811,ABC-309,Cheque,1693
9,ABC-307,XYX-910,Online-Transfer,3135
10,XYX-908,PQR-88814,Visa,2386
11,PQR-88812,ABC-310,Master-Card,4710
12,ABC-308,XYX-911,Cheque,1729
13,XYX-909,PQR-88815,Online-Transfer,3003
14,PQR-88813,ABC-311,Visa,2344
15,ABC-309,XYX-912,Master-Card,1835
16,XYX-910,ABC-310,Cheque,745
17,PQR-88814,XYX-911,Online-Transfer,4303
18,ABC-310,PQR-88815,Visa,673
19,XYX-911,ABC-311,Master-Card,4631
20,PQR-88815,XYX-912,Cheque,3104
21,ABC-311,PQR-88816,Online-Transfer,1725
22,XYX-912,ABC-312,Visa,4567
23,PQR-88816,XYX-913,Master-Card,4387
24,ABC-312,ABC-311,Cheque,3898
25,XYX-913,XYX-912,Online-Transfer,1811
26,PQR-88817,PQR-88816,Visa,3446
27,ABC-313,ABC-312,Master-Card,2719
28,XYX-914,XYX-913,Cheque,2638
29,PQR-88818,PQR-88817,Online-Transfer,1003
30,ABC-314,ABC-313,Visa,3217
31,XYX-915,XYX-914,Master-Card,1490
32,PQR-88819,ABC-312,Cheque,4576
33,ABC-315,XYX-913,Online-Transfer,1128
34,XYX-916,PQR-88817,Visa,1946
35,PQR-88820,ABC-313,Master-Card,4499
36,ABC-316,XYX-914,Cheque,3167
37,XYX-917,PQR-88818,Online-Transfer,3091
38,PQR-88821,ABC-314,Visa,4651
39,ABC-317,XYX-915,Master-Card,1303
40,XYX-918,ABC-313,Cheque,4698
41,PQR-88822,XYX-914,Online-Transfer,1698
42,ABC-318,PQR-88818,Visa,2476
43,XYX-919,ABC-314,Master-Card,2399
44,PQR-88823,XYX-915,Cheque,3844
45,ABC-319,PQR-88819,Online-Transfer,1601
46,XYX-920,ABC-315,Visa,3189
47,PQR-88824,XYX-916,Master-Card,1970
48,ABC-320,ABC-314,Cheque,2517
49,XYX-921,XYX-915,Online-Transfer,3577
50,PQR-88825,PQR-88819,Visa,1818
51,ABC-321,ABC-315,Master-Card,927
52,XYX-922,XYX-916,Cheque,3886
53,PQR-88826,PQR-88820,Online-Transfer,4045
54,ABC-322,ABC-316,Visa,4301
55,XYX-923,XYX-917,Master-Card,4471
56,PQR-88827,ABC-315,Cheque,4967
57,ABC-323,XYX-916,Online-Transfer,3958
58,XYX-924,PQR-88820,Visa,4090
59,PQR-88828,ABC-316,Master-Card,3089
60,ABC-324,XYX-917,Cheque,3508
61,XYX-925,PQR-88821,Online-Transfer,4903
62,PQR-88829,ABC-317,Visa,3622
63,ABC-325,XYX-918,Master-Card,4590
64,XYX-926,ABC-316,Cheque,346
65,PQR-88830,XYX-917,Online-Transfer,2134
66,ABC-326,PQR-88821,Visa,2670
67,XYX-927,ABC-317,Master-Card,2535
68,PQR-88831,XYX-918,Cheque,2471
69,ABC-327,PQR-88822,Online-Transfer,4581
70,XYX-928,ABC-318,Visa,1097
71,PQR-88832,XYX-919,Master-Card,1319
72,ABC-328,ABC-317,Cheque,550
73,XYX-929,XYX-918,Online-Transfer,2795
74,PQR-88833,PQR-88822,Visa,3494
75,ABC-329,ABC-318,Master-Card,531
76,XYX-930,XYX-919,Cheque,3785
77,PQR-88834,PQR-88823,Online-Transfer,366
78,ABC-330,ABC-319,Visa,2660
79,XYX-931,XYX-920,Master-Card,4627
80,PQR-88835,ABC-318,Cheque,2090
81,ABC-331,XYX-919,Online-Transfer,1395
82,XYX-932,PQR-88823,Visa,1852
83,PQR-88836,ABC-319,Master-Card,1719
84,ABC-332,XYX-920,Cheque,821
85,XYX-933,PQR-88824,Online-Transfer,2836
86,PQR-88837,ABC-320,Visa,3238
87,ABC-333,XYX-921,Master-Card,4993
88,XYX-934,ABC-319,Cheque,412
89,PQR-88838,XYX-920,Online-Transfer,524
90,ABC-334,PQR-88824,Visa,2786
91,XYX-935,ABC-320,Master-Card,4287
92,PQR-88839,XYX-921,Cheque,2506
93,ABC-335,PQR-88825,Online-Transfer,4804
94,XYX-936,ABC-321,Visa,1842
95,PQR-88840,XYX-922,Master-Card,1683
96,ABC-336,ABC-320,Cheque,181
97,XYX-937,XYX-921,Online-Transfer,2007
98,PQR-88841,PQR-88825,Visa,3719
99,ABC-337,ABC-321,Master-Card,330
100,XYX-938,XYX-922,Cheque,3344
101,PQR-88842,PQR-88826,Online-Transfer,4706
102,ABC-338,ABC-322,Visa,792
103,XYX-939,XYX-923,Master-Card,2763
104,PQR-88843,ABC-321,Cheque,2670
105,ABC-339,XYX-922,Online-Transfer,4633
106,XYX-940,PQR-88826,Visa,4087
107,PQR-88844,ABC-322,Master-Card,564
108,ABC-340,XYX-923,Cheque,4333
109,XYX-941,PQR-88827,Online-Transfer,4841
110,PQR-88845,ABC-323,Visa,506
111,ABC-341,XYX-924,Master-Card,3611
112,XYX-942,ABC-322,Cheque,4122
113,PQR-88846,XYX-923,Online-Transfer,2553
114,ABC-342,PQR-88827,Visa,3943
115,XYX-943,ABC-323,Master-Card,2253
116,PQR-88847,XYX-924,Cheque,2213
117,ABC-343,PQR-88828,Online-Transfer,1495
118,XYX-944,ABC-324,Visa,1357
119,PQR-88848,XYX-925,Master-Card,4913
120,ABC-344,ABC-323,Cheque,4025
121,XYX-945,XYX-924,Online-Transfer,4374
122,PQR-88849,PQR-88828,Visa,4216
123,ABC-345,ABC-324,Master-Card,608
124,XYX-946,XYX-925,Cheque,1911
125,PQR-88850,PQR-88829,Online-Transfer,2497
126,ABC-346,ABC-325,Visa,2138
127,XYX-947,XYX-926,Master-Card,4248
128,PQR-88851,ABC-324,Cheque,3341
129,ABC-347,XYX-925,Online-Transfer,1455
130,XYX-948,PQR-88829,Visa,4635
131,PQR-88852,ABC-325,Master-Card,4735
132,ABC-348,XYX-926,Cheque,3128
133,XYX-949,PQR-88830,Online-Transfer,3916
134,PQR-88853,ABC-326,Visa,4646
135,ABC-349,XYX-927,Master-Card,2724
136,XYX-950,ABC-325,Cheque,2806
137,PQR-88854,XYX-926,Online-Transfer,1428
138,ABC-350,PQR-88830,Visa,4145
139,XYX-951,ABC-326,Master-Card,3373
140,PQR-88855,XYX-927,Cheque,3343
141,ABC-351,PQR-88831,Online-Transfer,835
142,XYX-952,ABC-327,Visa,3443
143,PQR-88856,XYX-928,Master-Card,4704
144,ABC-352,ABC-326,Cheque,917
145,XYX-953,XYX-927,Online-Transfer,1018
146,PQR-88857,PQR-88831,Visa,3194
147,ABC-353,ABC-327,Master-Card,4125
148,XYX-954,XYX-928,Cheque,900
149,PQR-88858,PQR-88832,Online-Transfer,4434
150,ABC-354,ABC-328,Visa,3158
151,XYX-955,XYX-929,Master-Card,1967
152,PQR-88859,ABC-327,Cheque,1039
153,ABC-355,XYX-928,Online-Transfer,3081
154,XYX-956,PQR-88832,Visa,666
155,PQR-88860,ABC-328,Master-Card,4654
156,ABC-356,XYX-929,Cheque,321
157,XYX-957,PQR-88833,Online-Transfer,4185
158,PQR-88861,ABC-329,Visa,4513
159,ABC-357,XYX-930,Master-Card,3858
